Volk,3C-SiC,AlAs,AlP,AlSb,C,CdS,CdSe,GaAs,GaP,GaSb,Ge,InP,InAs,InSb,Si,Sn,ZnSe,ZnTe,ZnS
Esa,-8.4537,-7.5273,-7.8466,-6.1714,-4.545,-11.53,-9.63,-8.3431,-8.1124,-7.3207,-5.88,-8.5274,-9.5381,-8.0157,-4.2,-5.67,-11.8383,-9.815,-11.61
Epa,2.1234,0.9833,1.3169,0.9807,3.84,0.53,1.47,1.0414,1.125,0.8554,1.61,0.8735,0.9099,0.6738,1.715,1.33,1.5072,1.4834,1.48
Esc,-4.8463,-1.1627,-1.2534,-2.0716,-4.545,1.83,0.03,-2.6569,-2.1976,-3.8993,-5.88,-1.4826,-2.7219,-3.4643,-4.2,-5.67,0.0183,-0.935,1.11
Epc,4.3466,3.5867,4.2831,3.0163,3.84,5.87,4.73,3.6686,4.115,2.9146,1.61,4.0465,3.7201,2.9162,1.715,1.33,5.9928,5.2666,6.52
Es_a,9.6534,7.4033,8.7069,6.7607,11.37,7.13,7.53,8.5914,8.515,6.6354,6.39,8.2635,7.4099,6.453,6.685,5.9,7.5872,7.0834,8.08
Es_c,9.3166,6.7267,7.4231,6.1543,11.37,6.87,5.72,6.7386,7.185,5.9846,6.39,7.0665,6.7401,5.9362,6.685,5.9,8.9928,8.2666,8.02
Vss,-12.4197,-6.6642,-7.4535,-5.644,-22.725,-3.07,-4.64,-6.4513,-7.4709,-6.1567,-6.78,-5.3614,-5.6052,-5.5193,-8.3,-5.67,-6.2163,-6.5765,-6.3
Vxx,3.038,1.878,2.3749,1.7199,3.84,1.76,2.64,1.9546,2.1516,1.5789,1.61,1.8801,1.8398,1.4018,1.715,1.33,3.0054,2.7951,3.11
Vxy,5.9216,4.2919,4.8378,3.6648,11.67,4.23,5.36,5.0779,5.1369,4.1285,4.9,4.2324,4.4693,3.8761,4.575,4.08,5.9942,5.467,5
Vsa_pc,9.49,5.1106,5.2451,4.9121,15.2206,2.17,4.57,4.48,4.2771,4.9601,5.4649,2.2265,3.0354,3.788,5.7292,4.5116,3.498,5.9827,5.16
Vsc_pa,9.2007,5.4965,5.2775,4.2137,15.2206,5.48,5.54,5.7839,6.319,4.6675,5.4649,5.5825,5.4389,4.59,5.7292,4.5116,6.3191,5.8199,5.17
Vs_a_pc,8.7138,4.5216,5.2508,4.3662,8.2109,1.99,3.05,4.8422,4.6541,4.9895,5.2191,3.4623,3.3744,3.5666,5.3749,5.8939,2.5891,1.3196,2.89
Vpa_s_c,4.4051,4.995,4.6386,3.0739,8.2109,3.06,2.49,4.8077,5.095,4.218,5.2191,4.4814,3.9097,3.4048,5.3749,5.8939,3.9533,2,1.75
bond_l,1.88,2.45,2.36,2.66,1.54,2.53,2.62,2.45,2.36,2.64,2.45,2.54,2.62,2.81,2.35,2.81,2.45,2.64,2.35
